userId,utcMicrosecondsSinceEpoch,jointHeadX,jointHeadY,jointHeadZ,jointNeckX,jointNeckY,jointNeckZ,jointLeftShoulderX,jointLeftShoulderY,jointLeftShoulderZ,jointRightShoulderX,jointRightShoulderY,jointRightShoulderZ,jointLeftElbowX,jointLeftElbowY,jointLeftElbowZ,jointRightElbowX,jointRightElbowY,jointRightElbowZ,jointLeftHandX,jointLeftHandY,jointLeftHandZ,jointRightHandX,jointRightHandY,jointRightHandZ,jointTorsoX,jointTorsoY,jointTorsoZ,jointLeftHipX,jointLeftHipY,jointLeftHipZ,jointRightHipX,jointRightHipY,jointRightHipZ,jointLeftKneeX,jointLeftKneeY,jointLeftKneeZ,jointRightKneeX,jointRightKneeY,jointRightKneeZ,jointLeftFootX,jointLeftFootY,jointLeftFootZ,jointRightFootX,jointRightFootY,jointRightFootZ
1, 1638291731968120, -57.2017, 480.964, 1970.43, -67.2636, 318.39, 1992.23, -136.99, 338.266, 2088.7, 2.46263, 298.514, 1895.76, -136.99, 137.075, 2088.7, 45.9573, 113.369, 1881.63, -136.99, -64.1161, 2088.7, -17.4765, -77.3309, 1890.07, -78.5722, 166.703, 2015.31, -130.906, 26.7097, 2095.15, -48.856, 3.32086, 1981.63, -136.127, -274.979, 2155.44, -26.0501, -264.669, 2126.8, -145.747, -564.468, 2215.7, -42.5395, -547.517, 2063.09
1, 1638291732002140, -57.5381, 481.166, 1971.52, -67.3535, 318.317, 1992.23, -137.508, 337.896, 2088.45, 2.80107, 298.738, 1896.01, -137.508, 136.705, 2088.45, 44.7934, 112.151, 1881.59, -137.509, -64.4862, 2088.45, -18.2877, -78.6891, 1889.97, -78.4354, 166.569, 2015.03, -130.795, 26.342, 2094.44, -48.2394, 3.30179, 1981.22, -135.427, -275.156, 2155.73, -23.4609, -274.196, 2107.64, -145.071, -565.267, 2212.88, -46.532, -562.597, 2083.68
1, 1638291732045651, -57.683, 480.951, 1969.05, -67.0504, 317.798, 1991.71, -137.832, 337.865, 2087.37, 3.73111, 297.73, 1896.05, -137.832, 136.674, 2087.37, 43.5791, 112.421, 1883.09, -137.832, -64.5168, 2087.37, -16.576, -79.4315, 1888.5, -78.0102, 166.181, 2015.41, -130.618, 26.3723, 2095.39, -47.3221, 2.75662, 1982.82, -134.822, -275.301, 2155.84, -23.0352, -264.777, 2129.36, -147.734, -563.888, 2219.32, -43.1552, -551.334, 2053.65
1, 1638291732079184, -58.8106, 481.941, 1975.83, -67.7374, 318.132, 1993.23, -138.821, 335.314, 2089.18, 3.34649, 300.95, 1897.27, -138.821, 134.122, 2089.18, 43.2168, 110.589, 1882.92, -138.822, -67.0686, 2089.18, -18.1715, -80.8988, 1888.31, -77.9972, 165.944, 2012.88, -130.093, 23.8679, 2089, -46.4205, 3.64326, 1976.06, -134.486, -277.918, 2148.89, -24.5058, -275.99, 2097.26, -146.393, -566.83, 2211.29, -43.4778, -564.54, 2085.89
1, 1638291732114067, -58.5329, 480.771, 1971.71, -67.7457, 317.917, 1991.43, -138.626, 336.291, 2087.33, 3.13475, 299.542, 1895.54, -138.626, 135.1, 2087.33, 48.6017, 114.832, 1880.33, -138.627, -66.0915, 2087.33, -17.0922, -75.0379, 1888.91, -79.0739, 165.929, 2012.18, -132.103, 24.7508, 2089.35, -48.7011, 3.13065, 1976.51, -136.861, -275.589, 2155.76, -28.086, -261.633, 2126.36, -150.632, -564.143, 2219.51, -42.9701, -552.728, 2057.26
1, 1638291732145954, -59.3302, 482.272, 1977.15, -68.7639, 319.225, 1993.12, -139.624, 335.937, 2089.34, 2.09664, 302.513, 1896.9, -139.624, 134.746, 2089.34, 49.665, 112.89, 1879.98, -139.625, -66.445, 2089.34, -17.4454, -76.5023, 1889.11, -80.1756, 166.905, 2011.17, -133.281, 24.419, 2085.84, -49.8938, 4.75256, 1972.61, -136.407, -275.987, 2152.19, -27.3601, -272.195, 2098.74, -148.13, -565.34, 2212.6, -43.9508, -563.149, 2089.84
1, 1638291732179043, -59.0301, 479.94, 1966.37, -68.2439, 317.227, 1989.72, -140.134, 336.835, 2084.58, 3.64588, 297.62, 1894.87, -140.133, 135.644, 2084.58, 51.8814, 119.189, 1882.14, -140.134, -65.5475, 2084.58, -16.0188, -70.0428, 1888.37, -79.4809, 165.592, 2012.55, -133.03, 25.4973, 2091.2, -48.4065, 2.41681, 1979.55, -134.503, -274.365, 2160.05, -24.5878, -258.427, 2135.02, -148.696, -562.321, 2226.12, -38.3921, -554.223, 2065.3
1, 1638291732245164, -58.3925, 479.077, 1962.48, -67.9176, 316.36, 1988.68, -139.642, 337.509, 2083.35, 3.8066, 295.211, 1894, -139.642, 136.318, 2083.35, 46.2962, 112.921, 1882.55, -139.642, -64.8729, 2083.35, -19.8161, -76.9706, 1888.43, -79.4314, 165.069, 2013.75, -133.14, 26.2201, 2094.52, -48.7499, 1.33595, 1983.13, -134.699, -274.762, 2158.16, -26.9394, -275.571, 2106.85, -149.766, -563.047, 2222.76, -41.9645, -567.9, 2102.95
1, 1638291732279114, -58.278, 478.447, 1960.04, -67.3516, 315.622, 1987.15, -141.091, 336.891, 2080.22, 6.38747, 294.353, 1894.07, -141.09, 135.7, 2080.22, 44.0231, 108.764, 1882.14, -141.091, -65.4913, 2080.22, -21.9061, -81.1873, 1888.65, -78.8938, 164.358, 2012.57, -133.826, 25.6096, 2092.76, -47.0458, 0.578995, 1983.22, -135.662, -275.93, 2153.79, -26.3675, -268.648, 2125.54, -148.152, -565.263, 2214.02, -37.1225, -557.663, 2057.29
1, 1638291732312435, -58.1509, 479.011, 1959.31, -67.3437, 315.516, 1986.61, -141.413, 336.454, 2079.52, 6.726, 294.578, 1893.69, -141.413, 135.263, 2079.52, 45.4994, 106.186, 1880.86, -141.414, -65.9286, 2079.52, -23.3054, -82.4653, 1891.85, -78.6886, 164.161, 2011.67, -133.607, 25.1235, 2091.39, -46.4595, 0.488541, 1982.07, -135.029, -276.123, 2153.96, -26.5147, -279.918, 2101.42, -146.395, -565.356, 2215.04, -41.7714, -569.695, 2093.45
