subjectId,samples,startTime,startDate,endTime,endDate,minHeadDisplacement,maxHeadDisplacement,meanHeadDisplacement,rateHeadDisplacement,minTorsoDisplacement,maxTorsoDisplacement,meanTorsoDisplacement,rateTorsoDisplacement
11,41928,1636742102851000,2021-11-12 12:35:02.851000-06:00,1636743501976000,2021-11-12 12:58:21.976000-06:00,0.0229128784747261,85.36703456657031,2.3433254276562674,70.22146356140043,0.0,44.07098506954432,2.1367903577672873,64.03231257400756
12,43413,1636746620619000,2021-11-12 13:50:20.619000-06:00,1636748069450000,2021-11-12 14:14:29.450000-06:00,0.0426145515054684,429.4229976529551,2.8109931026372066,84.2270993453941,0.0035227829907703,133.5696748256879,3.4172625022170324,102.39303255262115
13,41690,1636991939061487,2021-11-15 09:58:59.061487-06:00,1636993330682421,2021-11-15 10:22:10.682421-06:00,0.0257875939164417,81.30302981439252,2.2233770661366252,66.60604496926175,0.0402577942763717,72.0923164729779,3.9254741881030815,117.59602735886232
14,43444,1636996462221443,2021-11-15 11:14:22.221443-06:00,1636997912424680,2021-11-15 11:38:32.424680-06:00,0.0221133443874974,567.0653422769636,1.7378170038493916,52.0588991749919,0.0270815435305907,125.50108570446707,2.9976091997441707,89.79785256436202
16,44641,1637012434528390,2021-11-15 15:40:34.528390-06:00,1637013924738419,2021-11-15 16:05:24.738419-06:00,0.0299999999999802,121.8359928330294,1.6499896570328512,49.426280092459834,0.0,119.33064331516027,2.2348503126250283,66.94607875007247
17,42725,1637078180591447,2021-11-16 09:56:20.591447-06:00,1637079606737576,2021-11-16 10:20:06.737576-06:00,0.0311448230048021,122.9173699238639,2.62813861159846,78.73288140582446,0.038884444190434,35.202803977234474,3.2190103996355615,96.43401718620822
18,47743,1637082401678996,2021-11-16 11:06:41.678996-06:00,1637083995817281,2021-11-16 11:33:15.817281-06:00,0.0272029410174837,72.38887016662157,1.723323306089112,51.61089351750038,0.0420119030751793,47.82715945203095,3.8136267350146564,114.21227963486997
19,51282,1637099653412138,2021-11-16 15:54:13.412138-06:00,1637101380513584,2021-11-16 16:23:00.513584-06:00,0.0104403065089454,1474.6300561556209,2.8459143515692866,84.50073051633784,0.0,1334.701575844638,3.6094164755387825,107.170593082871
20,46214,1637164639822278,2021-11-17 09:57:19.822278-06:00,1637166346982961,2021-11-17 10:25:46.982961-06:00,0.0,1038.1561717485909,2.3782853777883357,64.38040850998969,0.0,782.6854785311978,3.0287759045841556,81.98924815476677
21,53665,1637169692025895,2021-11-17 11:21:32.025895-06:00,1637171482453697,2021-11-17 11:51:22.453697-06:00,0.0134907375632353,149.75683844486034,1.896336034977042,56.838358333875064,0.0452658811911928,167.9620392261298,3.478224715547115,104.2518726120183
22,38117,1637176631130949,2021-11-17 13:17:11.130949-06:00,1637177903636832,2021-11-17 13:38:23.636832-06:00,0.0362353418640179,173.746253851673,1.8605320564898287,55.72943969263054,0.0,180.63320165462383,2.726983578358373,81.68269197126119
23,42262,1637255737095774,2021-11-18 11:15:37.095774-06:00,1637257147847684,2021-11-18 11:39:07.847684-06:00,0.0372558720203662,341.9278227067811,2.802783847110752,83.96121764793304,0.0428252262109003,150.38772177275635,6.043161952411396,181.03116888273885
24,41754,1637263202825155,2021-11-18 13:20:02.825155-06:00,1637264596588755,2021-11-18 13:43:16.588755-06:00,0.0,319.5656052694813,3.3009408287642654,98.88634085679587,0.0,180.74545251817543,5.697690641535602,170.68581598488845
25,41585,1637265469136329,2021-11-18 13:57:49.136329-06:00,1637266857626292,2021-11-18 14:20:57.626292-06:00,0.0399624824053714,123.766562713683,2.1722816192164403,65.0578407195124,0.0390128184062639,66.26043089423735,3.6132113905451755,108.21236484835082
26,40545,1637337505575657,2021-11-19 09:58:25.575657-06:00,1637338858642299,2021-11-19 10:20:58.642299-06:00,0.023452078799114,456.70749068769385,2.728596185567701,81.76109018853042,0.0,307.638432623299,3.9631930192095837,118.75519858602364
