participant,session,condition,trialType,posture,blockNum,trialNum,switchTrialType,congruantTrialType,cueType,shapeType,shapeColor,response,correctResponse,correct,reactionTime,date,utcTime,jointHeadDisplacement,jointTorsoDisplacement
1,1,1,experiment,standing,1,41,switch,congruant,dashed,square,yellow,right,right,yes,0.7687389850616455,2021-11-10 10:22:00,1636561843.1450176,2.349203092367955,2.391476909256114
1,1,1,experiment,standing,1,42,noswitch,congruant,dashed,square,blue,right,right,yes,0.5280640125274658,2021-11-10 10:22:00,1636561845.0358682,2.2086482711973345,2.4581632878381967
1,1,1,experiment,standing,1,43,switch,congruant,solid,square,yellow,right,right,yes,0.7229390144348145,2021-11-10 10:22:00,1636561847.1041064,2.5300077984829366,2.459793407278484
1,1,1,experiment,standing,1,44,noswitch,incongruant,solid,square,blue,right,left,no,0.6177389621734619,2021-11-10 10:22:00,1636561849.0527363,2.8566026626478283,2.519808940878883
1,1,1,experiment,standing,1,45,noswitch,congruant,solid,square,blue,left,left,yes,1.4588608741760254,2021-11-10 10:22:00,1636561856.8266144,2.3186288537975823,2.2604417528613117
1,1,1,experiment,standing,1,46,switch,congruant,dashed,triangle,yellow,left,left,yes,0.5210740566253662,2021-11-10 10:22:00,1636561858.6565504,2.4146845066975313,2.4463671676838143
1,1,1,experiment,standing,1,47,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.4004201889038086,2021-11-10 10:22:00,1636561860.3680089,1.9850575976418494,1.8177192657891268
1,1,1,experiment,standing,1,48,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.4413750171661377,2021-11-10 10:22:00,1636561862.1410365,2.568059685055022,2.2420938016353844
1,1,1,experiment,standing,1,49,switch,congruant,solid,square,blue,left,left,yes,0.4061441421508789,2021-11-10 10:22:00,1636561863.9132836,2.525543791197849,1.9966103346210415
1,1,1,experiment,standing,2,1,buffer,buffer,dashed,square,yellow,right,right,yes,0.7839510440826416,2021-11-10 10:22:00,1636561917.388801,1.4278345604457265,1.6459976137977086
1,1,1,experiment,standing,2,2,switch,congruant,solid,triangle,yellow,right,right,yes,1.0284171104431152,2021-11-10 10:22:00,1636561919.7517018,1.2343398292632035,1.4212094242239182
1,1,1,experiment,standing,2,3,switch,congruant,dashed,square,yellow,right,right,yes,0.9222869873046876,2021-11-10 10:22:00,1636561922.0577283,1.3546788992760888,1.656157251033284
1,1,1,experiment,standing,2,4,noswitch,congruant,dashed,square,blue,right,right,yes,0.4736409187316894,2021-11-10 10:22:00,1636561923.8867726,1.6200579329764007,1.691571308779529
1,1,1,experiment,standing,2,5,noswitch,congruant,dashed,square,blue,right,right,yes,0.3887879848480224,2021-11-10 10:22:00,1636561925.657766,1.8416604411066884,1.518603218331444
1,1,1,experiment,standing,2,6,noswitch,incongruant,dashed,triangle,blue,left,left,yes,0.5810389518737793,2021-11-10 10:22:00,1636561927.6112788,1.689077651149067,1.5900069916872919
1,1,1,experiment,standing,2,7,noswitch,incongruant,dashed,square,yellow,right,right,yes,0.4541401863098144,2021-11-10 10:22:00,1636561929.44476,1.5994601359402019,1.8286602681053834
1,1,1,experiment,standing,2,8,switch,congruant,solid,triangle,yellow,right,right,yes,0.4644818305969238,2021-11-10 10:22:00,1636561931.2752523,1.6336923273292463,1.8522558458373157
1,1,1,experiment,standing,2,9,switch,congruant,dashed,square,blue,right,right,yes,0.7307100296020508,2021-11-10 10:22:00,1636561933.3428702,1.724239915249068,1.7800458935308017
1,1,1,experiment,standing,2,10,switch,incongruant,solid,square,blue,left,left,yes,0.8824119567871094,2021-11-10 10:22:00,1636561935.5887856,1.7116568062521111,1.9512779880378814
1,1,1,experiment,standing,2,11,switch,incongruant,dashed,square,blue,right,right,yes,1.3175601959228516,2021-11-10 10:22:00,1636561938.2560906,1.7232544794451878,1.8003042257207094
1,1,1,experiment,standing,2,12,noswitch,incongruant,dashed,triangle,blue,left,left,yes,0.9148540496826172,2021-11-10 10:22:00,1636561940.5012398,1.700357497856714,1.6907733650025953
1,1,1,experiment,standing,2,13,switch,congruant,solid,square,blue,left,left,yes,1.3117539882659912,2021-11-10 10:22:00,1636561943.1601386,1.8812050304265049,2.046171099685896
1,1,1,experiment,standing,2,14,noswitch,congruant,solid,square,blue,left,left,yes,0.7090520858764648,2021-11-10 10:22:00,1636561945.2274325,1.8604162993389253,1.5885609390730004
1,1,1,experiment,standing,2,15,noswitch,incongruant,solid,triangle,yellow,right,right,yes,0.7835710048675537,2021-11-10 10:22:00,1636561947.354957,1.6663391198806101,1.7127211573986476
1,1,1,experiment,standing,2,16,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.467357873916626,2021-11-10 10:22:00,1636561949.1837354,1.8617904117797752,1.797791881194702
1,1,1,experiment,standing,2,17,noswitch,congruant,solid,triangle,blue,left,left,yes,0.4625530242919922,2021-11-10 10:22:00,1636561950.9548662,1.6618322595601989,1.7336604162643425
1,1,1,experiment,standing,2,18,switch,incongruant,dashed,square,yellow,right,right,yes,1.3376290798187256,2021-11-10 10:22:00,1636561953.6752326,1.9596597123102792,1.9150500751282724
1,1,1,experiment,standing,2,19,noswitch,incongruant,dashed,triangle,yellow,left,left,yes,1.0733211040496826,2021-11-10 10:22:00,1636561956.1013963,2.1074937844267754,1.9782415018595891
1,1,1,experiment,standing,2,20,noswitch,incongruant,dashed,square,blue,right,right,yes,0.5002808570861816,2021-11-10 10:22:00,1636561957.9314878,2.0866679621583395,2.0254944236037002
1,1,1,experiment,standing,2,21,noswitch,congruant,dashed,square,yellow,right,right,yes,1.2272870540618896,2021-11-10 10:22:00,1636561960.531842,1.9835199245971176,1.9618803865844907
1,1,1,experiment,standing,2,22,switch,incongruant,solid,triangle,blue,left,left,yes,0.4705238342285156,2021-11-10 10:22:00,1636561962.3638797,2.1277727809451767,1.993483345432577
1,1,1,experiment,standing,2,23,noswitch,incongruant,solid,square,yellow,right,right,yes,0.9644570350646972,2021-11-10 10:22:00,1636561964.670819,1.8596587469357981,1.894590662747796
1,1,1,experiment,standing,2,24,switch,congruant,dashed,square,yellow,right,right,yes,0.775568962097168,2021-11-10 10:22:00,1636561966.7970414,1.9603426469198157,1.9023038034944106
1,1,1,experiment,standing,2,25,switch,congruant,solid,square,yellow,right,right,yes,1.0083749294281006,2021-11-10 10:22:00,1636561969.1595964,2.456937596817322,1.8841627807402574
1,1,1,experiment,standing,2,26,noswitch,congruant,solid,square,yellow,right,right,yes,1.4053590297698977,2021-11-10 10:22:00,1636561971.9370456,1.7827743953904382,2.098020852223791
1,1,1,experiment,standing,2,27,noswitch,congruant,solid,square,yellow,right,right,yes,0.408607006072998,2021-11-10 10:22:00,1636561973.708147,1.6485203090225473,1.7016906660690727
1,1,1,experiment,standing,2,28,switch,incongruant,dashed,triangle,yellow,left,left,yes,0.660452127456665,2021-11-10 10:22:00,1636561975.7208369,1.780400241436361,1.7218314267525292
1,1,1,experiment,standing,2,29,switch,incongruant,solid,square,yellow,right,right,yes,0.9260210990905762,2021-11-10 10:22:00,1636561978.024411,1.6795091477178117,1.7579450201503082
1,1,1,experiment,standing,2,30,switch,incongruant,dashed,triangle,yellow,timeout,left,no,,2021-11-10 10:22:00,1636561980.8020878,2.014322081369153,1.8636760793914948
1,1,1,experiment,standing,2,31,switch,incongruant,solid,triangle,yellow,left,right,no,1.2601220607757568,2021-11-10 10:22:00,1636561988.3914783,2.254935267162779,1.7612762182631907
1,1,1,experiment,standing,2,32,switch,incongruant,dashed,triangle,blue,left,left,yes,0.4484729766845703,2021-11-10 10:22:00,1636561995.160348,2.1309377349777554,1.8176609955561653
1,1,1,experiment,standing,2,33,switch,incongruant,solid,triangle,yellow,right,right,yes,0.3713550567626953,2021-11-10 10:22:00,1636561996.8760505,2.3718789443640915,1.7378431814428772
1,1,1,experiment,standing,2,34,switch,incongruant,dashed,triangle,yellow,left,left,yes,1.1588609218597412,2021-11-10 10:22:00,1636561999.355682,2.1818626362988294,1.983841112102569
1,1,1,experiment,standing,2,35,noswitch,congruant,dashed,triangle,blue,left,left,yes,0.3445520401000976,2021-11-10 10:22:00,1636562001.0077407,1.7895767523736152,1.7893281830727694
1,1,1,experiment,standing,2,36,noswitch,congruant,dashed,triangle,yellow,left,left,yes,0.4608440399169922,2021-11-10 10:22:00,1636562002.778641,2.224928463390991,1.6889970837235289
1,1,1,experiment,standing,2,37,noswitch,congruant,dashed,triangle,blue,left,left,yes,1.2264399528503418,2021-11-10 10:22:00,1636562005.3211715,2.0967634093038137,2.045569467517496
1,1,1,experiment,standing,2,38,switch,congruant,solid,square,blue,left,left,yes,1.0193579196929932,2021-11-10 10:22:00,1636562007.6848824,2.0941466326627385,1.8016940211338761
1,1,1,experiment,standing,2,39,noswitch,congruant,solid,triangle,blue,left,left,yes,0.6556780338287354,2021-11-10 10:22:00,1636562009.693494,2.4333412145528004,2.4555191000023893
1,1,1,experiment,standing,2,40,switch,congruant,dashed,triangle,yellow,left,left,yes,0.4063389301300049,2021-11-10 10:22:00,1636562011.4637306,1.8429063863640647,1.9255151537351411
1,1,1,experiment,standing,2,41,switch,congruant,solid,triangle,blue,timeout,left,no,,2021-11-10 10:22:00,1636562014.1827233,1.7726152238777206,1.7097988184489203
1,1,1,experiment,standing,2,42,noswitch,congruant,solid,square,blue,left,left,yes,1.08610200881958,2021-11-10 10:22:00,1636562021.5967646,1.9293005894421849,1.7117819297107222
1,1,1,experiment,standing,2,43,noswitch,congruant,solid,square,blue,left,left,yes,0.3733980655670166,2021-11-10 10:22:00,1636562023.3091526,1.9539929561033529,1.7074789538235067
1,1,1,experiment,standing,2,44,noswitch,incongruant,solid,square,yellow,right,right,yes,0.3863389492034912,2021-11-10 10:22:00,1636562025.0837388,2.6910979655666454,2.479461667631668
1,1,1,experiment,standing,2,45,switch,incongruant,dashed,triangle,blue,left,left,yes,0.5131449699401855,2021-11-10 10:22:00,1636562026.9136958,2.223861472377558,1.8696728687932158
1,1,1,experiment,standing,2,46,switch,incongruant,solid,triangle,yellow,right,right,yes,0.4326000213623047,2021-11-10 10:22:00,1636562028.6893609,2.5022758445371602,1.9960737898415026
1,1,1,experiment,standing,2,47,noswitch,incongruant,solid,triangle,blue,left,left,yes,0.5467028617858887,2021-11-10 10:22:00,1636562030.5799634,1.864502406327395,1.658542396861158
1,1,1,experiment,standing,2,48,switch,incongruant,dashed,square,blue,right,right,yes,1.0822269916534424,2021-11-10 10:22:00,1636562033.0047655,2.2103342180565586,1.897351519697926
1,1,1,experiment,standing,2,49,noswitch,congruant,dashed,square,yellow,right,right,yes,0.3075950145721435,2021-11-10 10:22:00,1636562034.6560717,2.318872010035279,2.0900970387407427
1,1,1,experiment,standing,3,1,buffer,buffer,solid,square,blue,left,left,yes,1.3210210800170898,2021-11-10 10:22:00,1636562052.8370397,2.1092602716085764,2.054636527972578
1,1,1,experiment,standing,3,2,noswitch,incongruant,solid,square,yellow,right,right,yes,0.510826826095581,2021-11-10 10:22:00,1636562054.7317417,2.0957460945897517,2.300168303206085
